		$ 10,000 Gold ?	L' or à 10.000 dollars l' once ?	0-2 0-4 1-3 2-5 2-6 3-7
		As a visiting professor at Harvard and MIT , I am getting a good preview of what the world could look like when the crisis finally passes .	En tant que professeur invité à Harvard et au MIT , j' ai un bon aperçu de ce à quoi pourrait ressembler le monde quand la crise sera passée .	0-0 0-1 1-1 1-2 2-4 3-3 4-5 5-6 6-7 7-8 7-9 8-10 9-11 10-12 12-13 13-14 14-15 15-16 16-17 16-19 17-22 18-23 19-20 20-21 21-21 22-24 23-25 24-26 25-27 26-28 27-29
		One senses something like the making of an American-Asian dominated universe .	On perçoit l' émergence d' un monde dominé par l' Amérique et l' Asie .	0-0 1-1 2-1 3-1 4-2 5-3 6-4 7-5 8-7 8-8 8-9 8-10 8-11 8-12 8-13 9-7 10-6 11-14
ils ils	ils ils	From the incredible media lab at MIT to the mathematics and economics departments at Harvard , Asians - Chinese and Indians , in particular - are everywhere , like the Romans in Athens in the first century BC : full of admiration for those from whom they were learning so much , and whom they would overcome in the coming decades .	De l' incroyable laboratoire des médias du MIT aux départements de mathématiques et d' économie de Harvard , les Asiatiques ( notamment des Chinois et des Indiens ) sont partout , comme les Romains à Athènes un siècle avant Jésus-Christ : plein d' admiration pour ceux dont REPLACE_46 apprennent énormément et qu' REPLACE_54 dépasseront lors des prochaines décennies .	0-0 1-1 2-2 3-5 4-3 5-6 6-7 7-8 8-8 9-11 10-12 11-13 11-14 12-9 13-15 14-16 15-17 16-18 16-19 17-20 18-23 19-24 20-26 22-21 23-21 24-27 25-28 26-29 27-30 28-31 29-32 30-33 31-34 32-35 34-36 35-38 36-37 37-39 38-40 39-41 40-42 41-43 42-44 43-45 44-22 45-46 46-47 48-48 49-49 50-49 52-50 53-51 54-52 55-53 56-53 57-54 58-55 59-56 60-57 61-58
		But before this new order appears , the world may be faced with spreading disorder , if not outright chaos .	Mais avant que n' émerge un nouvel ordre mondial , la planète risque d' être confrontée à une vague de désordre , ou peut-être même de véritable chaos .	0-0 1-1 1-2 2-5 3-6 4-7 5-4 6-9 7-10 8-11 9-12 10-14 11-15 12-16 13-20 14-20 15-21 16-22 17-23 18-24 19-26 19-27 20-28
		What , for example , will happen to a country as central and vulnerable as Egypt when hundred of thousands of Egyptians working in the Gulf are forced to return to their homeland as a result of the crisis in the oil-producing countries ?	Que va-t-il arriver par exemple pour un pays aussi central et vulnérable que l' Egypte quand les centaines de milliers d' Egyptiens qui travaillent dans le Golfe devront rentrer chez eux à cause de la crise dans les pays producteurs de pétrole ?	0-0 2-3 3-3 3-4 5-1 6-1 6-2 7-5 8-6 9-7 10-8 11-9 12-10 13-11 14-12 15-13 15-14 16-15 17-17 18-18 19-19 20-20 21-21 22-22 22-23 23-24 24-25 25-26 26-27 27-27 28-27 29-28 30-29 31-30 32-30 33-31 35-32 36-33 37-34 38-35 39-36 40-37 41-39 41-41 42-38 43-42
		When the rich get less rich , the poor get poorer .	Quand les riches deviennent moins riches , les pauvres deviennent encore plus pauvres .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 10-11 10-12 11-13
		And what about the foreign workers who have reached for the " European dream " and are now faced with potential explosions of xenophobia in Europe 's supposedly open countries ?	Et que va-t-il se passer pour les travailleurs étrangers qui ont réalisé leur ampquot ; rêve européenampquot ; et risquent de se trouver confrontés à une explosion de xénophobie dans les pays d' une Europe supposée ouverte .	0-0 1-1 1-2 2-4 2-5 3-6 4-8 5-7 6-9 7-10 8-11 9-20 10-12 11-13 11-14 12-16 13-15 13-16 14-17 15-18 16-19 18-22 19-24 21-26 22-27 23-28 24-29 25-34 26-30 27-35 28-36 29-31 30-37
		The consequences of 1989 ended up being less enduring than many observers , including me , would have assumed .	Finalement , les conséquences de 1989 ont été moins durables que ce que beaucoup d' observateurs ( moi y compris ) le pensaient .	0-0 1-3 2-4 3-5 4-5 4-6 6-7 7-8 8-9 9-10 9-11 9-12 10-13 10-14 11-15 12-16 13-18 13-19 14-17 15-18 18-22 19-23
		We can only hope that , in the end , the consequences of 2009 similarly prove to be far less dramatic than we now - intuitively and in our historical reflexes - feel them to be .	Il reste à espérer que de même , les effets de 2009 seront moins dramatiques que ce que l' on peut l' imaginer pour l' instant - guidés par l' intuition et par un réflexe historique .	0-0 1-20 2-1 3-3 4-4 6-5 7-21 8-22 9-7 10-8 11-9 12-10 13-11 14-6 16-23 17-12 19-13 20-14 21-15 22-19 23-25 24-26 25-27 25-28 25-30 26-31 27-32 28-33 29-35 30-34 36-36
		9 / 11 in Perspective	Le 11 septembre en perspective	0-0 0-1 1-2 2-1 2-2 3-3 4-4
il OTHER	Il NONE	NEW YORK - It was a decade ago that 19 terrorists took control of four planes , flew two into the twin towers of the World Trade Center , hit the Pentagon with a third , and crashed the fourth in a field in Pennsylvania after passengers resisted and made it impossible for the terrorists to complete their malevolent mission .	NEW YORK - REPLACE_3 y a dix ans de cela , 19 terroristes prenaient le contrôle de quatre avions , deux desquels venaient s' écraser dans les tours jumelles du World Trade Center , tandis qu' un troisième venait frapper le Pentagone et que le dernier se crashait au milieu d' un champ de Pennsylvanie après que plusieurs passagers aient résisté et ainsi fait REPLACE_50 échec à la mission terroriste .	0-0 1-1 2-2 3-3 6-6 6-7 7-4 7-5 7-10 8-9 9-11 10-12 11-13 12-15 13-16 14-17 15-18 16-19 18-20 19-24 19-25 20-26 21-28 22-27 23-29 24-29 25-30 26-31 27-32 28-33 29-39 30-40 31-41 32-34 32-35 33-36 34-37 36-42 37-23 38-44 39-45 40-48 41-51 42-52 43-53 44-54 45-55 46-58 47-59 47-60 48-61 48-62 49-63 50-64 51-65 52-66 53-67 54-69 55-8 56-47 57-47 58-47 59-68 60-70
		In a matter of hours , more than 3,000 innocent people , mostly Americans , but also people from 115 other countries , had their lives suddenly and violently taken from them .	En quelques heures à peine , ce sont plus de 3 000 innocents , principalement américains , mais également originaires de 115 autres pays , à qui l' on ôtait la vie de manière soudaine et violente .	0-0 1-1 2-1 3-3 4-2 4-4 5-5 6-8 7-9 8-10 8-11 9-12 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-19 18-20 19-21 20-22 21-23 22-24 23-29 24-30 25-31 26-33 26-34 27-35 28-29 28-36 29-28 29-29 30-29 31-29 32-37
OTHER	sans	September 11 , 2001 , was a terrible tragedy by any measure , but it was not a historical turning point .	Le 11 septembre 2001 a été une terrible tragédie en bien des aspects , mais REPLACE_14 pour autant constituer un tournant historique .	0-0 0-2 1-1 3-3 5-4 5-5 6-6 7-7 8-8 9-9 10-11 11-12 12-13 13-14 14-15 15-16 16-15 16-17 16-18 17-19 18-21 19-20 20-20 21-22
OTHER	L'	It did not herald a new era of international relations in which terrorists with a global agenda prevailed , or in which such spectacular terrorist attacks became commonplace .	REPLACE_0 événement n' a pas engendré de nouvelle ère des relations internationales , au cours de laquelle l' agenda global terroriste aurait prévalu , ou au cours de laquelle ce genre d' attaques terroristes spectaculaires serait devenu monnaie courante .	0-0 1-2 1-3 2-4 3-5 4-6 5-7 6-8 7-9 8-11 9-10 10-13 10-14 11-16 12-20 13-15 14-17 15-19 16-18 17-21 17-22 18-23 19-24 20-25 20-26 21-28 21-29 22-30 22-31 23-34 24-33 25-32 26-35 26-36 27-37 27-38 28-39
		On the contrary , 9 / 11 has not been replicated .	Au contraire , aucun 11 septembre ne s' est reproduit .	0-0 1-1 2-1 3-2 4-5 5-5 6-4 7-6 7-7 8-6 9-8 10-9 11-10
		Despite the attention devoted to the " Global War on Terrorism , " the most important developments of the last ten years have been the introduction and spread of innovative information technologies , globalization , the wars in Iraq and Afghanistan , and the political upheavals in the Middle East .	Malgré les efforts dépensés dans la " Guerre mondiale contre le terrorisme " , les évolutions principales des dix dernières années ont été l' introduction et le déploiement de technologies de l' information innovantes , la mondialisation , les guerres en Iraq et en Afghanistan , ainsi que les bouleversements politiques au Moyen-Orient .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-8 8-7 9-9 10-10 10-11 11-13 12-12 13-14 14-16 15-16 16-15 17-17 18-17 19-19 20-18 21-20 22-21 23-22 24-23 25-24 26-25 27-27 28-28 29-33 30-32 31-29 32-34 33-35 33-36 34-37 35-38 36-39 37-40 38-41 39-42 40-43 40-44 41-45 42-46 43-48 44-50 45-49 46-51 47-51 48-52 49-52 50-53
il	il	As for the future , it is much more likely to be defined by the United States ' need to put its economic house in order ; China 's trajectory within and beyond its borders ; and the ability of the world 's governments to cooperate on restoring economic growth , stemming the spread of nuclear weapons , and meeting energy and environmental challenges .	Quant à l' avenir , REPLACE_5 sera très probablement déterminé par la nécessité pour les États-Unis de mettre de l' ordre dans leur économie ; par la trajectoire adoptée par la Chine au sein de ses frontières et au-delà ; et par la capacité des gouvernements mondiaux à coopérer en vue de restaurer la croissance économique , d' endiguer la propagation des armes nucléaires , et de répondre aux défis énergétiques et environnementaux .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-7 9-8 12-9 13-10 14-11 14-14 15-15 16-15 17-11 18-12 19-13 19-16 19-18 20-17 21-22 22-23 23-20 24-21 25-20 26-24 27-30 27-31 28-25 28-26 28-29 29-27 29-28 30-32 30-33 31-37 32-38 33-35 34-36 35-39 36-40 37-42 38-43 39-44 40-44 41-46 42-41 43-45 44-47 45-48 46-49 46-50 47-52 48-55 49-53 49-54 50-56 51-58 52-59 53-60 54-61 55-63 56-62 57-64 58-65 59-67 60-70 61-71 62-72 63-68 63-69 64-73
OTHER	Nous	It is and would be wrong to make opposition to terrorism the centerpiece of what responsible governments do in the world .	REPLACE_0 aurions tort de considérer la lutte contre le terrorisme comme l' objectif principal des politiques menées autour du monde par les gouvernements en charge .	0-0 3-1 4-1 5-2 6-3 7-4 8-6 9-7 10-8 10-9 11-11 12-12 12-13 12-14 12-15 12-16 12-17 13-14 13-18 14-10 15-24 16-22 17-23 18-18 19-18 20-19 21-25
		Terrorists continue to be outliers with limited appeal at best .	La démarche terroriste est désormais une aberration qui ne séduit guère plus qu' une minorité .	0-0 1-8 2-4 3-3 4-1 4-2 4-9 4-10 5-9 6-10 7-9 8-9 9-11 10-15
elle	Elle	They can destroy but not create .	REPLACE_0 entend détruire , sans rien créer .	0-0 1-1 2-2 3-4 4-5 5-6 6-7
OTHER	Notons	It is worth noting that the people who went into the streets of Cairo and Damascus calling for change were not shouting the slogans of Al Qaeda or supporting its agenda .	REPLACE_0 d' ailleurs qu' aucun slogan en faveur d' Al-Qaïda ou de son agenda n' a été scandé lors des manifestations des peuples descendus dans les rues du Caire ou de Damas pour appeler au changement .	0-0 1-2 2-1 3-2 4-3 5-21 6-22 7-23 8-23 9-24 10-25 11-26 12-27 13-28 14-29 15-31 16-33 17-32 17-34 18-35 19-15 19-16 20-14 21-17 21-18 22-19 23-5 24-8 25-8 25-9 26-9 27-10 28-7 29-12 30-13 31-36
		Moreover , measures have been implemented to push back , successfully , against terrorists .	Par ailleurs , un certain nombre de mesures ont été prises qui ont permis de faire reculer efficacement les terroristes .	0-0 0-1 1-2 2-7 3-8 4-9 5-10 6-14 6-15 7-15 7-16 8-16 10-17 13-18 13-19 14-20
		Intelligence assets have been redirected .	Les agences de renseignement se sont adaptées .	0-3 1-1 2-4 3-5 4-6 5-7
		Borders have been made more secure and societies more resilient .	Les frontières sont plus sécurisées , et les sociétés plus déterminées .	0-0 0-1 1-2 2-2 3-4 4-3 5-4 6-6 7-7 7-8 8-9 9-10 10-11
		International cooperation has increased markedly , in part because governments that cannot agree on many things can agree on the need to cooperate in this area .	La coopération internationale s' est renforcée de manière significative , et l' on note que , si bien des sujets sont de nature à diviser les chefs d' État , celui de la lutte contre le terrorisme ne peut que les rapprocher .	0-0 0-2 1-1 2-3 2-4 3-5 4-5 5-15 6-21 7-8 8-39 9-40 10-14 11-37 11-38 13-18 14-17 15-19 16-20 17-33 18-34 19-35 21-23 22-24 23-16 24-12 25-30 26-42
		Military force has played a role as well .	Les forces militaires ont bien évidemment joué un rôle .	0-0 0-2 1-1 2-3 3-6 4-7 5-8 7-4 8-9
OTHER	l'	Al Qaeda lost its base in Afghanistan when the Taliban government that had provided it sanctuary was ousted from power .	Al-Qaïda a perdu son sanctuaire afghan lorsque le gouvernement taliban qui REPLACE_14 hébergeait a été chassé du pouvoir .	0-0 1-0 2-1 2-2 3-3 4-4 6-5 7-6 8-7 9-9 10-8 11-10 12-12 13-12 14-11 15-12 16-13 16-14 17-15 18-15 18-16 19-17 20-18
		Osama bin-Laden was finally found and killed by US Special Forces in the suburbs of Islamabad .	Oussama Ben Laden a finalement été retrouvé et abattu par les forces spéciales américaines dans la banlieue d' Islamabad .	0-0 1-1 1-2 2-2 2-3 3-4 4-5 4-6 5-7 6-8 7-9 8-10 8-13 9-12 10-11 11-14 12-15 13-16 14-17 15-18 16-19
		Drones - unmanned aircraft that are remotely steered - have proven to be effective in killing a significant number of terrorists , including many of the most important leaders .	Les drones - des avions sans pilote et commandés à distance - se sont avérés efficaces dans l' élimination d' un grand nombre de terroristes , parmi lesquels beaucoup des leaders les plus importants .	0-0 0-1 1-2 2-5 2-6 3-3 3-4 4-9 6-10 7-8 8-11 9-12 9-13 10-14 12-14 13-15 14-16 15-18 16-20 17-21 18-22 19-23 20-24 21-25 22-26 22-27 23-28 24-29 25-31 26-32 27-33 28-30 29-34
		Weak governments can be made stronger ; governments that tolerate or support terrorism must be held accountable .	Il est possible de renforcer des gouvernements fragiles ; et ceux qui hébergent ou soutiennent le terrorisme doivent répondre de leurs actes .	0-6 0-7 1-6 2-2 3-1 5-4 5-5 6-8 6-9 7-10 8-11 9-12 10-13 11-14 12-15 12-16 13-17 15-18 16-20 16-21 17-22
		But progress is not to be confused with victory .	Pour autant , il ne faut pas confondre progrès et victoire .	0-0 0-1 1-8 2-4 2-5 3-6 4-5 5-5 6-7 7-7 7-9 8-10 9-11
		Terrorists and terrorism cannot be eliminated any more than we can rid the world of disease .	Les terroristes et le terrorisme ne peuvent pas plus être éradiqués que le monde ne saurait un jour être débarrassé de la maladie .	0-0 0-1 1-2 2-3 2-4 3-5 3-6 3-7 4-9 5-10 6-7 7-8 8-11 9-14 10-18 11-19 12-12 13-13 14-20 15-21 15-22 16-23
		There will always be those who will resort to force against innocent men , women , and children in pursuit of political goals .	Il y aura toujours ceux qui , dans la poursuite d' objectifs politiques , recourent à la force à l' encontre d' innocents , hommes , femmes et enfants .	0-0 0-1 1-2 2-3 4-4 5-5 6-6 7-14 8-15 9-17 10-18 10-20 11-22 12-24 13-25 14-26 15-23 16-27 17-28 18-7 19-9 20-10 21-12 22-11 23-29
		Indeed , terrorists are advancing in some areas .	En effet , le terrorisme est en progression dans un certain nombre de régions .	0-0 0-1 1-2 2-4 3-5 4-7 5-8 6-9 6-10 6-11 7-13 8-14
